eps_p    eps_q    p        q        eps_1    eps_2    sigma_1  sigma_2  epor     stateVar2
-0.05957 0.12800  721.1    1265.2   0.10814  -0.08386 1564.6   299.3    0.80111  0.00000 
-0.06017 0.12900  721.1    1265.2   0.10894  -0.08456 1564.6   299.3    0.80220  0.00000 
-0.06077 0.13000  721.1    1265.2   0.10974  -0.08526 1564.6   299.3    0.80329  0.00000 
-0.06137 0.13100  721.1    1265.2   0.11054  -0.08596 1564.6   299.3    0.80437  0.00000 
-0.06198 0.13200  721.1    1265.2   0.11134  -0.08666 1564.6   299.3    0.80546  0.00000 
-0.06258 0.13300  721.1    1265.2   0.11214  -0.08736 1564.6   299.3    0.80655  0.00000 
-0.06318 0.13400  721.1    1265.2   0.11294  -0.08806 1564.6   299.3    0.80764  0.00000 
-0.06379 0.13500  721.1    1265.2   0.11374  -0.08876 1564.6   299.3    0.80873  0.00000 
-0.06439 0.13600  721.1    1265.2   0.11454  -0.08946 1564.6   299.3    0.80982  0.00000 
-0.06499 0.13700  721.1    1265.2   0.11534  -0.09016 1564.6   299.3    0.81091  0.00000 
-0.06560 0.13800  721.1    1265.2   0.11613  -0.09087 1564.6   299.3    0.81200  0.00000 
-0.06620 0.13900  721.1    1265.2   0.11693  -0.09157 1564.6   299.3    0.81310  0.00000 
-0.06680 0.14000  721.1    1265.2   0.11773  -0.09227 1564.6   299.3    0.81419  0.00000 
-0.06740 0.14100  721.1    1265.2   0.11853  -0.09297 1564.6   299.3    0.81528  0.00000 
-0.06801 0.14200  721.1    1265.2   0.11933  -0.09367 1564.6   299.3    0.81638  0.00000 
-0.06861 0.14300  721.1    1265.2   0.12013  -0.09437 1564.6   299.3    0.81747  0.00000 
-0.06921 0.14400  721.1    1265.2   0.12093  -0.09507 1564.6   299.3    0.81857  0.00000 
-0.06982 0.14500  721.1    1265.2   0.12173  -0.09577 1564.6   299.3    0.81966  0.00000 
-0.07042 0.14600  721.1    1265.2   0.12253  -0.09647 1564.6   299.3    0.82076  0.00000 
-0.07102 0.14700  721.1    1265.2   0.12333  -0.09717 1564.6   299.3    0.82186  0.00000 
-0.07163 0.14800  721.1    1265.2   0.12412  -0.09788 1564.6   299.3    0.82296  0.00000 
-0.07223 0.14900  721.1    1265.2   0.12492  -0.09858 1564.6   299.3    0.82406  0.00000 
-0.07283 0.15000  721.1    1265.2   0.12572  -0.09928 1564.6   299.3    0.82516  0.00000 
-0.07343 0.15100  721.1    1265.2   0.12652  -0.09998 1564.6   299.3    0.82626  0.00000 
-0.07404 0.15200  721.1    1265.2   0.12732  -0.10068 1564.6   299.3    0.82736  0.00000 
-0.07464 0.15300  721.1    1265.2   0.12812  -0.10138 1564.6   299.3    0.82846  0.00000 
-0.07524 0.15400  721.1    1265.2   0.12892  -0.10208 1564.6   299.3    0.82956  0.00000 
-0.07585 0.15500  721.1    1265.2   0.12972  -0.10278 1564.6   299.3    0.83067  0.00000 
-0.07645 0.15600  721.1    1265.2   0.13052  -0.10348 1564.6   299.3    0.83177  0.00000 
-0.07705 0.15700  721.1    1265.2   0.13132  -0.10418 1564.6   299.3    0.83288  0.00000 
-0.07766 0.15800  721.1    1265.2   0.13211  -0.10489 1564.6   299.3    0.83398  0.00000 
-0.07826 0.15900  721.1    1265.2   0.13291  -0.10559 1564.6   299.3    0.83509  0.00000 
-0.07886 0.16000  721.1    1265.2   0.13371  -0.10629 1564.6   299.3    0.83619  0.00000 
-0.07946 0.16100  721.1    1265.2   0.13451  -0.10699 1564.6   299.3    0.83730  0.00000 
-0.08007 0.16200  721.1    1265.2   0.13531  -0.10769 1564.6   299.3    0.83841  0.00000 
-0.08067 0.16300  721.1    1265.2   0.13611  -0.10839 1564.6   299.3    0.83952  0.00000 
-0.08127 0.16400  721.1    1265.2   0.13691  -0.10909 1564.6   299.3    0.84063  0.00000 
-0.08188 0.16500  721.1    1265.2   0.13771  -0.10979 1564.6   299.3    0.84174  0.00000 
-0.08248 0.16600  721.1    1265.2   0.13851  -0.11049 1564.6   299.3    0.84285  0.00000 
-0.08308 0.16700  721.1    1265.2   0.13931  -0.11119 1564.6   299.3    0.84396  0.00000 
-0.08368 0.16800  721.1    1265.2   0.14011  -0.11189 1564.6   299.3    0.84507  0.00000 
-0.08429 0.16900  721.1    1265.2   0.14090  -0.11260 1564.6   299.3    0.84618  0.00000 
-0.08489 0.17000  721.1    1265.2   0.14170  -0.11330 1564.6   299.3    0.84729  0.00000 
-0.08549 0.17100  721.1    1265.2   0.14250  -0.11400 1564.6   299.3    0.84841  0.00000 
-0.08610 0.17200  721.1    1265.2   0.14330  -0.11470 1564.6   299.3    0.84952  0.00000 
-0.08670 0.17300  721.1    1265.2   0.14410  -0.11540 1564.6   299.3    0.85064  0.00000 
-0.08730 0.17400  721.1    1265.2   0.14490  -0.11610 1564.6   299.3    0.85175  0.00000 
-0.08791 0.17500  721.1    1265.2   0.14570  -0.11680 1564.6   299.3    0.85287  0.00000 
