eps_p    eps_q    p        q        eps_1    eps_2    sigma_1  sigma_2  epor     stateVar2
0.05576  0.17300  608.7    926.0    0.19159  -0.06791 1226.0   300.0    0.65490  1199.73078
0.05578  0.17400  608.8    926.5    0.19259  -0.06841 1226.5   300.0    0.65487  1200.35234
0.05580  0.17500  609.0    926.9    0.19360  -0.06890 1226.9   300.0    0.65483  1200.96191
0.05582  0.17600  609.1    927.3    0.19461  -0.06939 1227.3   300.0    0.65480  1201.55972
0.05584  0.17700  609.2    927.7    0.19561  -0.06989 1227.7   300.0    0.65477  1202.14600
0.05586  0.17800  609.4    928.1    0.19662  -0.07038 1228.1   300.0    0.65474  1202.72095
0.05588  0.17900  609.5    928.4    0.19763  -0.07087 1228.4   300.0    0.65471  1203.28481
0.05589  0.18000  609.6    928.8    0.19863  -0.07137 1228.8   300.0    0.65468  1203.83779
0.05591  0.18100  609.7    929.2    0.19964  -0.07186 1229.2   300.0    0.65465  1204.38008
0.05593  0.18200  609.8    929.5    0.20064  -0.07236 1229.5   300.0    0.65462  1204.91190
0.05595  0.18300  610.0    929.9    0.20165  -0.07285 1229.9   300.0    0.65459  1205.43344
0.05596  0.18400  610.1    930.2    0.20265  -0.07335 1230.2   300.0    0.65456  1205.94491
0.05598  0.18500  610.2    930.6    0.20366  -0.07384 1230.6   300.0    0.65454  1206.44649
0.05600  0.18600  610.3    930.9    0.20467  -0.07433 1230.9   300.0    0.65451  1206.93838
0.05601  0.18700  610.4    931.2    0.20567  -0.07483 1231.2   300.0    0.65448  1207.42076
0.05603  0.18800  610.5    931.6    0.20668  -0.07532 1231.6   300.0    0.65446  1207.89382
0.05604  0.18900  610.6    931.9    0.20768  -0.07582 1231.9   300.0    0.65443  1208.35773
0.05606  0.19000  610.7    932.2    0.20869  -0.07631 1232.2   300.0    0.65441  1208.81266
0.05607  0.19100  610.8    932.5    0.20969  -0.07681 1232.5   300.0    0.65438  1209.25880
0.05609  0.19200  610.9    932.8    0.21070  -0.07730 1232.8   300.0    0.65436  1209.69631
0.05610  0.19300  611.0    933.1    0.21170  -0.07780 1233.1   300.0    0.65434  1210.12535
0.05611  0.19400  611.1    933.4    0.21270  -0.07830 1233.4   300.0    0.65431  1210.54610
0.05613  0.19500  611.2    933.6    0.21371  -0.07879 1233.6   300.0    0.65429  1210.95869
0.05614  0.19600  611.3    933.9    0.21471  -0.07929 1233.9   300.0    0.65427  1211.36331
0.05615  0.19700  611.4    934.2    0.21572  -0.07978 1234.2   300.0    0.65425  1211.76009
0.05617  0.19800  611.5    934.4    0.21672  -0.08028 1234.4   300.0    0.65423  1212.14919
0.05618  0.19900  611.6    934.7    0.21773  -0.08077 1234.7   300.0    0.65421  1212.53076
0.05619  0.20000  611.6    934.9    0.21873  -0.08127 1234.9   300.0    0.65419  1212.90494
